,EDUCATION,SEX,MARRIAGE,AGE
4642,1,2,2,36
4643,1,2,1,37
4644,2,2,1,47
4645,1,1,2,29
4646,2,1,2,50
4647,1,1,2,44
4648,1,2,2,44
4649,2,2,2,25
4650,2,2,1,50
4651,1,2,2,44
4652,1,1,2,30
4653,1,2,1,27
4654,2,2,1,54
4655,1,2,1,46
4656,3,2,1,26
4657,2,2,1,45
4658,1,2,1,28
4659,2,2,1,50
4660,1,1,1,36
4661,3,1,2,27
4662,3,2,2,23
4663,2,1,1,34
4664,1,2,2,24
4665,3,1,1,47
4666,3,2,1,52
4667,1,1,2,30
4668,2,1,2,42
4669,2,1,1,57
4670,1,1,1,43
4671,2,1,2,26
4672,2,2,1,44
4673,2,1,2,27
4674,1,2,1,44
4675,1,2,2,29
4676,5,2,1,53
4677,1,2,1,35
4678,3,1,1,29
4679,3,1,2,37
4680,1,2,2,29
4681,2,2,1,36
4682,1,2,2,47
4683,1,1,1,48
4684,2,2,2,32
4685,1,1,2,44
4686,2,2,2,26
4687,1,1,2,30
4688,2,2,2,30
4689,3,1,1,39
4690,3,2,2,37
4691,1,2,2,25
4692,1,2,1,36
4693,3,2,1,33
4694,1,1,2,29
4695,2,1,1,58
4696,1,2,2,24
4697,2,1,2,28
4698,1,2,1,35
4699,3,2,1,42
4700,1,1,1,45
4701,2,2,2,31
4702,3,2,1,41
4703,3,1,1,41
4704,2,1,2,46
4705,2,2,3,41
4706,2,2,1,32
4707,2,2,2,36
4708,2,2,1,37
4709,1,1,1,44
4710,2,2,2,32
4711,3,2,1,42
4712,2,1,2,24
4713,1,1,2,25
4714,2,2,2,35
4715,3,2,1,39
4716,3,1,1,38
4717,2,2,1,33
4718,2,1,2,30
4719,2,1,2,25
4720,1,1,1,38
4721,1,2,2,34
4722,3,1,2,46
4723,2,2,2,31
4724,2,2,1,46
4725,2,1,2,32
4726,5,2,2,42
4727,3,2,2,45
4728,1,2,2,26
4729,1,2,1,34
4730,1,2,2,29
4731,3,1,2,42
4732,1,2,2,23
4733,2,1,2,52
4734,2,1,1,43
4735,2,1,1,48
4736,2,2,2,24
4737,1,1,1,45
4738,1,1,2,33
4739,2,2,2,26
4740,2,1,1,36
4741,2,1,1,43
4742,2,2,2,24
4743,3,1,1,56
4744,1,1,2,41
4745,2,1,2,28
4746,2,1,1,27
4747,2,2,1,60
4748,1,1,2,24
4749,2,1,1,58
4750,2,2,1,45
4751,2,2,2,29
4752,3,1,1,56
4753,1,2,1,44
4754,1,2,1,42
4755,2,1,2,25
4756,1,2,2,27
4757,2,2,1,37
4758,1,1,1,51
4759,1,2,1,45
4760,2,2,1,37
4761,3,1,2,30
4762,2,2,1,22
4763,2,2,1,44
4764,3,1,2,22
4765,2,1,2,33
4766,1,1,1,44
4767,1,1,1,50
4768,1,1,1,37
4769,1,2,2,29
4770,2,2,2,31
4771,1,1,2,40
4772,2,2,2,23
4773,2,1,2,24
4774,2,2,1,42
4775,1,2,1,48
4776,3,2,1,25
4777,1,1,2,23
4778,2,1,2,53
4779,1,2,2,29
4780,2,1,1,30
4781,3,2,1,30
4782,1,2,2,36
4783,2,2,2,34
4784,2,1,2,40
4785,2,1,2,36
4786,2,2,2,56
4787,1,2,2,28
4788,2,1,1,52
4789,2,2,2,35
4790,2,2,2,24
4791,2,1,1,38
4792,1,1,1,44
4793,1,1,2,44
4794,2,2,2,25
4795,3,1,1,40
4796,2,2,1,41
4797,2,2,2,32
4798,1,1,2,49
4799,1,2,2,24
4800,3,1,1,22
4801,2,1,1,35
4802,2,1,2,41
4803,2,2,2,29
4804,2,1,1,38
4805,2,2,1,45
4806,2,1,1,33
4807,1,1,2,28
4808,1,1,2,27
4809,3,1,3,53
4810,1,2,2,31
4811,2,1,2,43
4812,3,2,1,27
4813,2,2,1,42
4814,1,1,1,38
4815,2,1,3,37
4816,2,2,2,31
4817,1,2,2,27
4818,1,2,2,33
4819,1,2,2,35
4820,1,2,2,29
4821,2,2,2,43
4822,2,2,1,49
4823,1,2,1,57
4824,1,1,1,31
4825,3,1,2,25
4826,1,2,2,34
4827,2,2,2,31
4828,1,2,2,28
4829,3,2,3,48
4830,2,1,2,36
4831,1,1,1,42
4832,2,2,1,24
4833,3,1,1,52
4834,3,2,2,26
4835,2,2,1,39
4836,2,1,1,48
4837,2,1,1,33
4838,2,2,2,22
4839,2,2,1,33
4840,3,1,1,37
4841,1,2,2,27
4842,2,1,2,30
4843,2,2,2,23
4844,1,1,2,33
4845,2,1,2,34
4846,2,2,2,22
4847,3,1,1,54
4848,2,2,1,42
4849,1,2,2,27
4850,1,2,2,30
4851,1,2,1,37
4852,3,2,2,23
4853,3,1,1,33
4854,1,2,2,27
4855,1,2,2,35
4856,2,1,2,32
4857,3,2,1,32
4858,2,2,1,55
4859,1,2,2,41
4860,2,1,1,41
4861,2,2,1,27
4862,2,2,1,32
4863,1,2,1,37
4864,1,2,2,28
4865,2,2,2,40
4866,2,2,2,29
4867,2,1,2,34
4868,2,1,1,40
4869,1,2,1,54
4870,1,2,2,29
4871,2,1,1,42
4872,3,1,1,53
4873,2,2,2,30
4874,2,2,3,52
4875,3,2,1,41
4876,2,2,1,33
4877,1,1,2,49
4878,1,2,2,27
4879,1,2,2,37
4880,1,2,2,43
4881,1,2,2,27
4882,2,1,2,29
4883,1,2,2,32
4884,2,1,2,30
4885,1,1,2,29
4886,1,2,2,31
4887,2,1,2,29
4888,2,2,1,28
4889,2,2,2,36
4890,2,2,1,33
4891,1,2,2,33
4892,2,2,1,47
4893,2,2,2,28
4894,2,2,1,38
4895,3,2,1,41
4896,1,2,2,42
4897,2,2,1,37
4898,1,2,2,29
4899,2,2,1,34
4900,1,2,2,28
4901,3,2,1,50
4902,2,2,1,27
4903,2,1,1,50
4904,2,2,2,22
4905,1,2,1,34
4906,2,2,1,46
4907,2,2,1,43
4908,2,1,2,23
4909,2,1,2,30
4910,1,2,2,34
4911,5,1,2,29
4912,3,1,1,57
4913,1,1,1,33
4914,2,1,1,42
4915,2,1,1,45
4916,1,2,1,32
4917,2,2,1,35
4918,1,2,2,39
4919,1,2,2,31
4920,2,2,2,26
4921,2,2,2,27
4922,1,2,2,30
4923,1,2,2,29
4924,2,1,1,38
4925,2,1,1,42
4926,1,1,2,31
4927,2,2,2,53
4928,1,2,1,49
4929,1,2,2,30
4930,2,1,2,28
4931,2,2,1,29
4932,2,1,2,38
4933,2,2,2,24
4934,1,2,1,22
4935,2,1,1,45
4936,1,1,2,24
4937,1,1,1,37
4938,2,1,2,46
4939,2,1,2,26
4940,2,1,2,35
4941,2,2,2,31
4942,1,2,2,31
4943,2,2,2,25
4944,2,1,2,32
4945,1,2,2,24
4946,2,1,1,37
4947,1,1,1,59
4948,1,1,2,24
4949,2,1,2,51
4950,1,1,2,51
4951,3,1,1,35
4952,3,2,2,36
4953,1,2,2,34
4954,1,1,2,35
4955,1,1,1,46
4956,1,1,2,33
4957,1,1,2,27
4958,1,1,1,56
4959,1,2,2,24
4960,1,2,1,34
4961,1,1,2,29
4962,1,2,2,30
4963,1,2,2,42
4964,3,1,1,44
4965,2,2,2,22
4966,3,1,1,45
4967,2,2,2,22
4968,1,2,2,25
4969,2,2,1,37
4970,2,1,2,36
4971,2,1,1,63
4972,2,2,2,26
4973,1,2,2,30
4974,2,2,2,26
4975,1,2,1,39
4976,1,2,2,31
4977,1,1,1,44
4978,2,2,1,36
4979,1,2,1,35
4980,1,1,2,24
4981,3,1,1,43
4982,1,2,2,33
4983,1,2,2,30
4984,1,2,1,31
4985,1,2,2,26
4986,2,2,2,29
4987,2,2,2,24
4988,2,2,1,32
4989,1,2,2,28
4990,1,1,2,32
4991,2,2,1,50
4992,2,1,1,36
4993,3,2,1,58
4994,1,2,2,40
4995,2,2,1,36
4996,4,2,1,34
4997,2,2,1,45
4998,3,1,1,44
4999,1,1,2,40
5000,3,2,1,61
5001,1,1,1,45
5002,1,2,2,28
5003,3,2,1,48
5004,2,2,2,28
5005,3,2,0,24
5006,1,2,2,31
5007,3,1,1,44
5008,2,2,1,31
5009,2,2,2,26
5010,3,1,2,26
5011,1,2,1,49
5012,3,2,2,40
5013,1,2,1,38
5014,1,2,1,38
5015,1,2,2,24
5016,2,2,2,33
5017,2,2,1,34
5018,2,1,2,26
5019,3,1,2,48
5020,2,2,1,42
5021,1,2,2,38
5022,1,2,2,26
5023,2,1,1,37
5024,1,2,1,40
5025,2,1,2,27
5026,2,1,1,25
5027,1,1,2,30
5028,3,2,1,53
5029,1,1,1,53
5030,1,1,1,40
5031,2,1,1,49
5032,1,2,2,23
5033,2,2,1,32
5034,1,2,2,23
5035,2,1,1,45
5036,1,2,2,33
5037,1,1,2,28
5038,1,1,2,28
5039,3,2,2,42
5040,1,2,2,29
5041,1,1,2,28
5042,3,2,2,58
5043,3,1,2,45
5044,3,2,1,42
5045,1,1,2,36
5046,1,2,2,30
5047,2,2,2,52
5048,2,1,2,30
5049,3,2,2,61
5050,2,2,1,39
5051,1,2,2,23
5052,1,2,2,25
5053,2,1,2,32
5054,2,2,2,31
5055,1,2,2,25
5056,2,2,1,34
5057,2,1,2,43
5058,1,2,1,35
5059,2,2,1,24
5060,2,1,1,52
5061,2,1,2,25
5062,2,1,2,30
5063,2,2,2,33
5064,2,1,1,53
5065,1,2,1,32
5066,3,2,1,49
5067,3,2,1,40
5068,2,1,1,44
5069,2,1,1,35
5070,2,2,1,48
5071,2,2,2,27
5072,1,2,1,55
5073,2,2,1,41
5074,2,2,1,49
5075,1,2,2,27
5076,2,1,2,31
5077,2,2,1,29
5078,2,2,3,48
5079,2,2,1,43
5080,3,1,2,59
5081,2,2,1,36
5082,3,2,1,57
5083,2,2,1,52
5084,3,1,1,45
5085,2,1,1,43
5086,2,2,2,23
5087,1,2,2,31
5088,2,2,2,28
5089,2,2,1,53
5090,2,2,1,29
5091,1,2,2,26
5092,2,1,2,32
5093,2,2,1,43
5094,1,1,2,26
5095,1,1,2,27
5096,3,2,1,45
5097,2,2,1,31
5098,1,1,2,26
5099,1,1,2,29
5100,1,2,1,48
5101,2,2,1,35
5102,1,1,2,25
5103,1,2,1,33
5104,3,2,2,40
5105,2,1,3,45
5106,5,2,3,35
5107,2,2,2,29
5108,2,1,2,25
5109,2,2,2,39
5110,2,1,2,31
5111,1,2,1,30
5112,2,1,1,33
5113,3,2,2,36
5114,1,2,2,24
5115,2,1,2,31
5116,2,1,2,29
5117,1,1,2,38
5118,1,2,2,29
5119,2,2,1,47
5120,2,1,2,37
5121,1,1,1,37
5122,2,2,2,23
5123,1,2,1,47
5124,1,2,1,40
5125,2,2,2,34
5126,5,2,2,23
5127,3,1,1,51
5128,2,2,1,38
5129,2,2,2,25
5130,3,1,1,39
5131,2,2,2,34
5132,1,2,2,42
5133,2,1,1,37
5134,3,1,2,53
5135,1,2,2,32
5136,2,1,1,28
5137,3,1,1,43
5138,1,2,2,27
5139,1,2,2,42
5140,1,1,1,43
5141,1,2,2,30
5142,3,2,1,48
5143,1,2,2,29
5144,1,1,2,23
5145,3,2,2,36
5146,2,2,2,30
5147,2,2,2,25
5148,3,1,2,33
5149,3,1,2,29
5150,2,1,1,36
5151,1,1,2,43
5152,1,1,2,31
5153,2,1,2,24
5154,1,2,1,47
5155,2,1,2,27
5156,1,1,2,30
5157,1,1,2,29
5158,3,1,2,32
5159,1,2,2,28
5160,2,1,2,32
5161,1,1,2,22
5162,1,1,2,35
5163,2,2,1,26
5164,2,2,2,26
5165,3,1,1,58
5166,1,1,1,37
5167,3,1,1,40
5168,5,2,1,32
5169,2,2,2,26
5170,2,1,1,34
5171,3,1,1,46
5172,2,2,1,40
5173,1,2,2,27
5174,3,2,3,29
5175,2,2,2,48
5176,1,2,2,30
5177,1,1,1,50
5178,1,1,1,39
5179,2,1,2,27
5180,1,2,2,47
5181,2,2,1,47
5182,1,2,1,36
5183,2,1,1,40
5184,2,2,1,45
5185,5,2,2,34
5186,1,1,2,39
5187,1,1,1,40
5188,1,1,2,28
5189,2,1,2,24
5190,2,2,2,30
5191,2,1,1,41
5192,1,2,1,41
5193,1,2,1,36
5194,2,2,2,31
5195,2,2,2,28
5196,1,2,2,25
5197,2,2,1,42
5198,2,1,1,51
5199,3,2,2,24
5200,1,2,2,34
5201,1,1,2,36
5202,3,1,1,58
5203,2,1,1,43
5204,1,2,1,35
5205,3,2,1,45
5206,1,2,1,53
5207,2,1,2,40
5208,1,2,2,35
5209,2,2,1,43
5210,1,1,2,25
5211,2,1,2,23
5212,1,1,2,28
5213,2,2,1,30
5214,3,1,1,50
5215,1,2,2,32
5216,3,1,2,27
5217,2,2,1,34
5218,2,2,1,33
5219,2,2,1,47
5220,1,1,2,35
5221,2,2,1,24
5222,3,1,2,49
5223,2,2,2,48
5224,2,1,2,22
5225,1,2,2,24
5226,2,2,2,50
5227,1,2,1,45
5228,3,2,2,53
5229,1,2,2,27
5230,2,1,2,24
5231,1,1,2,25
5232,2,1,1,35
5233,1,1,2,35
5234,1,2,2,27
5235,2,2,2,21
5236,1,2,1,39
5237,1,1,1,46
5238,1,1,1,32
5239,2,2,2,28
5240,2,2,2,31
5241,1,2,2,31
5242,2,2,2,50
5243,1,2,2,28
5244,1,2,2,31
5245,2,2,1,34
5246,1,2,2,27
5247,2,1,2,28
5248,2,2,1,28
5249,1,2,2,32
5250,2,2,2,40
5251,1,2,1,44
5252,1,2,2,29
5253,1,1,1,63
5254,2,1,2,29
5255,2,2,1,40
5256,3,2,3,55
5257,3,2,2,25
5258,1,2,2,32
5259,1,1,2,29
5260,2,2,2,24
5261,2,2,1,36
5262,2,2,1,37
5263,2,2,1,33
5264,2,1,2,45
5265,2,2,2,54
5266,1,1,1,41
5267,2,2,1,40
5268,2,1,2,25
5269,3,2,1,39
5270,5,2,2,37
5271,1,2,2,28
5272,3,1,1,32
5273,2,2,1,42
5274,1,1,2,24
5275,2,1,1,53
5276,3,1,2,34
5277,5,2,1,35
5278,2,1,2,27
5279,3,2,1,55
5280,2,1,3,37
5281,2,1,2,51
5282,2,2,1,33
5283,2,2,1,38
5284,2,1,1,36
5285,1,2,1,36
5286,1,2,2,33
5287,2,2,3,57
5288,2,2,1,35
5289,2,2,1,44
5290,2,2,1,42
5291,2,2,2,24
5292,2,1,1,47
5293,1,1,2,33
5294,2,1,2,27
5295,1,1,2,34
5296,1,2,1,33
5297,2,1,2,24
5298,2,2,1,29
5299,1,2,2,36
5300,1,2,1,48
5301,2,1,2,30
5302,2,2,2,29
5303,1,2,2,29
5304,1,2,1,38
5305,2,1,2,31
5306,2,1,1,31
5307,2,2,2,24
5308,1,1,2,35
5309,2,1,2,38
5310,3,2,2,31
5311,2,1,1,46
5312,2,2,2,24
5313,1,2,1,50
5314,1,1,2,27
5315,2,2,2,28
5316,1,2,2,26
5317,2,2,2,23
5318,2,2,1,33
5319,3,2,1,60
5320,2,1,2,30
5321,1,2,2,26
5322,2,2,1,34
5323,2,2,2,28
5324,2,2,1,38
5325,1,1,1,45
5326,1,2,2,32
5327,3,2,1,28
5328,1,2,2,30
5329,2,1,2,41
5330,3,1,1,42
5331,2,2,3,52
5332,2,2,1,22
5333,1,2,1,31
5334,3,2,2,25
5335,1,2,1,38
5336,2,1,2,31
5337,2,2,1,31
5338,3,1,2,25
5339,2,2,1,41
5340,3,1,2,48
5341,3,2,1,48
5342,3,2,1,27
5343,3,1,2,31
5344,1,2,1,41
5345,2,2,0,28
5346,3,2,2,23
5347,1,2,1,34
5348,1,1,2,28
5349,1,2,2,23
5350,3,1,2,24
5351,1,1,1,36
5352,2,2,1,48
5353,2,1,1,39
5354,2,1,2,27
5355,2,2,1,37
5356,1,1,1,34
5357,1,2,2,27
5358,2,2,2,30
5359,2,2,2,33
5360,1,1,2,26
5361,2,1,1,34
5362,3,2,2,23
5363,2,2,1,52
5364,3,2,2,30
5365,3,1,3,55
5366,2,1,2,29
5367,1,2,1,40
5368,2,2,1,44
5369,2,2,1,44
5370,2,1,1,44
5371,3,1,1,40
5372,2,1,2,29
5373,1,1,2,33
5374,1,2,2,30
5375,1,2,2,28
5376,2,2,2,28
5377,1,2,1,41
5378,2,1,2,26
5379,2,1,2,44
5380,2,1,2,23
5381,1,1,2,24
5382,2,2,1,38
5383,1,1,2,25
5384,1,2,2,29
5385,2,2,1,48
5386,3,2,1,44
5387,2,1,2,23
5388,3,1,2,24
5389,1,2,2,35
5390,1,1,2,37
5391,3,2,1,38
5392,2,1,2,28
5393,1,2,2,24
5394,1,1,2,29
5395,2,2,1,52
5396,3,1,1,39
5397,2,1,1,55
5398,1,2,2,27
5399,1,2,2,25
5400,2,2,2,49
5401,1,1,1,58
5402,1,1,2,34
5403,3,1,1,31
5404,3,2,1,36
5405,3,2,2,27
5406,1,2,2,25
5407,1,1,1,48
5408,5,2,2,33
5409,3,1,1,45
5410,2,2,1,43
5411,1,1,1,40
5412,2,1,3,49
5413,1,2,2,23
5414,1,2,1,44
5415,2,1,2,67
5416,2,1,1,38
5417,2,2,1,31
5418,1,1,1,50
5419,2,1,2,47
5420,1,1,2,36
5421,3,2,1,41
5422,2,1,2,25
5423,1,2,2,27
5424,1,1,1,54
5425,1,2,1,58
5426,2,2,1,49
5427,3,2,1,50
5428,2,1,1,42
5429,3,1,2,40
5430,2,2,1,40
5431,2,2,2,26
5432,2,1,2,28
5433,1,2,2,26
5434,3,1,1,45
5435,2,2,2,41
5436,1,1,1,41
5437,1,2,2,33
5438,3,1,2,34
5439,2,2,1,42
5440,2,2,2,39
5441,2,2,1,42
5442,4,1,2,30
5443,1,1,1,53
5444,2,1,1,47
5445,2,1,1,40
5446,3,2,1,36
5447,1,2,1,29
5448,1,1,2,49
5449,1,1,1,57
5450,2,1,2,49
5451,2,2,1,31
5452,2,2,1,36
5453,2,1,3,53
5454,3,2,2,31
5455,2,2,2,28
5456,1,1,2,29
5457,3,2,1,28
5458,2,1,2,38
5459,3,1,1,53
5460,1,1,2,39
5461,2,2,1,48
5462,1,1,2,32
5463,2,2,2,25
5464,3,2,2,25
5465,2,2,2,34
5466,2,1,1,37
5467,3,2,1,43
5468,1,2,2,33
5469,3,2,1,30
5470,2,1,2,27
5471,1,1,2,25
5472,3,2,3,55
5473,1,1,2,37
5474,1,2,2,36
5475,3,2,1,40
5476,2,2,1,48
5477,2,2,1,33
5478,2,2,1,37
5479,1,2,2,35
5480,2,2,2,31
5481,2,2,1,39
5482,2,2,1,27
5483,2,2,2,21
5484,3,2,2,29
5485,3,1,2,28
5486,3,2,1,47
5487,1,1,2,33
5488,3,1,2,23
5489,2,1,2,32
5490,1,1,2,41
5491,2,1,2,23
5492,1,2,2,28
5493,2,1,1,24
5494,1,1,1,34
5495,1,2,2,36
5496,3,2,1,48
5497,3,1,1,49
5498,1,1,2,66
5499,1,2,1,39
5500,2,2,1,44
5501,2,2,1,55
5502,2,1,2,34
5503,1,2,2,31
5504,1,2,1,42
5505,2,1,2,37
5506,1,1,2,25
5507,2,2,2,36
5508,3,1,1,39
5509,3,1,1,49
5510,1,1,2,30
5511,1,1,2,36
5512,3,2,1,69
5513,1,2,2,27
5514,1,2,2,40
5515,2,2,2,56
5516,1,2,2,29
5517,1,1,2,31
5518,2,2,1,29
5519,2,2,1,47
5520,3,1,1,39
5521,1,2,2,25
5522,2,2,2,22
5523,1,1,2,33
5524,1,1,2,27
5525,2,1,1,40
5526,1,1,1,33
5527,3,1,1,52
5528,1,2,2,30
5529,3,1,2,39
5530,2,2,1,27
5531,2,2,2,25
5532,1,1,2,33
5533,1,1,2,35
5534,2,1,2,29
5535,1,2,1,41
5536,2,2,2,24
5537,2,1,1,29
5538,3,2,2,48
5539,1,1,1,34
5540,1,2,2,23
5541,3,1,1,29
5542,2,1,2,30
5543,3,1,2,24
5544,1,1,2,27
5545,3,2,1,60
5546,2,2,1,24
5547,2,2,1,35
5548,2,2,2,26
5549,2,1,2,22
5550,3,1,1,53
5551,2,1,1,40
5552,2,1,2,27
5553,2,2,1,44
5554,1,2,2,32
5555,5,2,1,25
5556,2,2,2,33
5557,2,2,2,25
5558,2,2,1,38
5559,2,1,2,34
5560,2,2,2,28
5561,2,1,1,33
5562,1,1,2,29
5563,1,2,2,25
5564,3,2,1,60
5565,1,2,1,43
5566,2,2,2,36
5567,3,2,2,48
5568,2,1,1,24
5569,2,2,1,35
5570,1,1,2,33
5571,2,2,1,30
5572,2,2,1,62
5573,1,2,2,33
5574,2,2,2,25
5575,3,2,2,38
5576,2,1,2,26
5577,2,1,2,24
5578,3,2,1,35
5579,3,2,1,58
5580,1,1,1,42
5581,1,1,1,41
5582,2,1,1,34
5583,1,1,2,22
5584,2,2,1,37
5585,3,1,1,43
5586,2,2,2,28
5587,3,2,1,58
5588,3,2,2,24
5589,2,2,1,39
5590,1,2,1,38
5591,3,2,2,49
5592,2,1,1,49
5593,1,2,2,26
5594,2,2,2,23
5595,2,2,1,27
5596,1,2,2,48
5597,2,2,1,52
5598,1,2,2,50
5599,3,1,1,37
5600,2,2,1,23
5601,2,2,2,33
5602,1,2,2,29
5603,2,2,2,38
5604,2,1,2,29
5605,1,2,1,39
5606,3,2,1,43
5607,2,2,2,32
5608,1,2,2,29
5609,2,1,2,33
5610,2,2,2,27
5611,2,1,2,37
5612,1,2,1,38
5613,3,2,1,48
5614,2,1,2,23
5615,2,2,2,33
5616,2,2,1,35
5617,2,2,2,23
5618,2,2,1,35
5619,2,2,2,23
5620,2,2,1,33
5621,2,1,1,44
5622,3,1,2,45
5623,3,2,1,39
5624,2,2,1,33
5625,1,2,2,39
5626,2,1,1,51
5627,2,2,2,36
5628,2,2,1,24
5629,1,2,1,40
5630,2,2,2,25
5631,3,1,2,27
5632,5,1,2,34
5633,2,1,1,45
5634,3,2,2,42
5635,1,2,1,37
5636,2,2,2,42
5637,2,1,2,29
5638,1,2,2,25
5639,2,1,2,42
5640,2,1,2,34
5641,2,2,2,42
5642,2,2,2,41
5643,2,2,1,49
5644,1,1,1,42
5645,2,2,1,53
5646,2,2,2,26
5647,2,2,2,22
5648,3,1,1,33
5649,1,1,2,36
5650,2,2,2,38
5651,2,2,2,27
5652,1,2,1,32
5653,1,2,2,28
5654,1,2,1,43
5655,2,1,2,24
5656,2,1,1,39
5657,3,2,1,29
5658,2,2,1,38
5659,2,2,1,24
5660,2,1,2,24
5661,2,2,1,42
5662,2,2,1,33
5663,2,2,2,28
5664,1,2,2,26
5665,3,2,1,55
5666,1,1,2,33
5667,1,2,2,27
5668,2,2,1,29
5669,2,2,1,49
5670,2,2,1,40
5671,2,1,2,29
5672,1,2,2,23
5673,2,1,2,37
5674,2,2,1,41
5675,2,2,2,28
5676,2,1,2,43
5677,3,1,1,55
5678,2,2,1,40
5679,3,2,1,52
5680,2,2,2,36
5681,2,2,1,23
5682,2,2,1,26
5683,3,2,2,57
5684,2,2,2,35
5685,1,1,2,31
5686,1,1,1,31
5687,1,2,1,39
5688,1,2,2,32
5689,2,1,2,37
5690,1,1,2,38
5691,2,1,1,36
5692,1,2,2,25
5693,3,2,2,42
5694,1,1,1,39
5695,1,1,2,28
5696,1,2,2,28
5697,1,2,2,25
5698,1,2,2,26
5699,2,2,2,23
5700,1,2,1,30
5701,1,2,1,40
5702,1,1,2,32
5703,2,2,1,30
5704,1,2,2,29
5705,1,1,2,28
5706,1,2,3,48
5707,5,2,1,28
5708,1,2,2,35
5709,3,1,1,62
5710,1,2,2,27
5711,2,2,1,40
5712,1,2,2,24
5713,2,2,2,22
5714,1,2,2,27
5715,2,2,2,35
5716,1,2,1,41
5717,1,2,2,33
5718,2,1,1,41
5719,1,1,1,49
5720,3,2,2,34
5721,3,2,2,27
5722,2,1,1,48
5723,2,2,2,22
5724,1,2,2,25
5725,1,2,1,37
5726,2,2,3,37
5727,1,1,1,49
5728,3,1,2,33
5729,1,2,2,27
5730,2,2,3,37
5731,1,2,2,48
5732,1,1,1,44
5733,1,2,1,35
5734,2,1,1,40
5735,2,2,2,30
5736,2,2,1,35
5737,1,2,2,32
5738,3,1,2,23
5739,3,2,1,34
5740,1,1,2,34
5741,2,1,2,34
5742,3,2,2,59
5743,1,2,2,22
5744,1,2,1,36
5745,1,2,2,27
5746,3,1,1,38
5747,4,2,1,42
5748,1,2,2,26
5749,1,2,2,30
5750,2,2,2,37
5751,3,1,1,51
5752,3,1,1,56
5753,2,2,2,30
5754,1,2,2,24
5755,3,2,1,29
5756,1,1,2,35
5757,2,2,1,30
5758,2,2,2,33
5759,1,2,2,44
5760,2,2,1,38
5761,1,2,1,39
5762,2,1,1,27
5763,2,1,1,35
5764,3,2,2,22
5765,2,1,1,33
5766,3,2,2,26
5767,2,2,1,43
5768,1,1,3,32
5769,2,1,1,45
5770,2,1,1,38
5771,2,1,1,40
5772,1,2,2,22
5773,2,2,2,26
5774,3,2,2,49
5775,2,2,1,35
5776,2,1,1,38
5777,3,2,2,27
5778,3,2,2,45
5779,2,1,1,36
5780,3,2,2,31
5781,3,1,2,33
5782,1,2,1,31
5783,3,1,2,24
5784,1,2,2,24
5785,2,1,2,26
5786,1,2,1,40
5787,2,2,1,40
5788,2,2,1,44
5789,1,1,2,29
5790,2,2,2,26
5791,1,2,1,30
5792,2,2,2,26
5793,2,1,1,48
5794,3,2,1,33
5795,1,2,2,26
5796,1,2,2,33
5797,1,2,2,23
5798,1,2,2,31
5799,1,1,2,23
5800,1,1,1,50
5801,1,2,2,29
5802,1,1,2,26
5803,2,2,2,24
5804,2,2,1,28
5805,2,2,2,25
5806,2,2,3,26
5807,3,2,1,53
5808,1,1,2,36
5809,1,1,2,31
5810,2,2,1,33
5811,1,2,1,34
5812,1,1,2,36
5813,1,2,1,44
5814,3,1,2,25
5815,1,2,1,24
5816,1,1,1,67
5817,1,2,2,25
5818,2,2,2,30
5819,2,2,2,24
5820,2,2,1,45
5821,2,1,1,49
5822,1,2,2,28
5823,2,2,2,43
5824,3,2,1,70
5825,3,1,1,50
5826,2,2,2,22
5827,1,2,2,38
5828,2,1,2,42
5829,1,2,2,22
5830,2,2,1,28
5831,1,1,1,34
5832,1,1,1,45
5833,2,2,1,26
5834,3,1,1,47
5835,2,2,2,26
5836,2,2,3,36
5837,2,1,2,26
5838,3,2,2,22
5839,1,2,2,25
5840,2,2,2,26
5841,1,1,2,30
5842,2,1,2,23
5843,2,1,2,37
5844,1,2,2,27
5845,2,2,1,59
5846,1,2,1,43
5847,1,2,1,30
5848,1,1,2,30
5849,3,2,1,61
5850,1,1,2,28
5851,2,1,2,29
5852,2,2,2,28
5853,2,2,2,26
5854,3,1,1,53
5855,1,2,1,30
5856,1,2,2,31
5857,1,1,1,40
5858,1,1,2,46
5859,1,1,2,27
5860,2,2,2,40
5861,3,1,2,41
5862,2,2,2,26
5863,2,1,2,44
5864,3,2,1,41
5865,1,2,2,31
5866,2,1,2,30
5867,2,1,2,24
5868,2,1,2,31
5869,2,2,1,37
5870,1,2,1,30
5871,1,2,2,27
5872,3,2,2,30
5873,1,2,2,27
5874,3,1,1,35
5875,2,2,2,33
5876,2,2,1,26
5877,1,2,2,27
5878,2,1,2,33
5879,2,2,2,23
5880,1,1,2,35
5881,1,2,2,32
5882,3,2,1,53
5883,2,2,1,23
5884,1,2,2,25
5885,2,2,1,29
5886,2,1,2,23
5887,1,2,2,43
5888,2,1,1,37
5889,2,1,1,41
5890,1,2,2,36
5891,2,1,1,40
5892,3,1,2,26
5893,3,2,1,38
5894,1,2,2,34
5895,1,2,2,27
5896,3,2,2,36
5897,1,2,2,35
5898,1,2,2,30
5899,2,2,1,43
5900,2,1,1,53
5901,2,2,2,27
5902,1,1,2,30
5903,2,2,1,45
5904,1,1,2,32
5905,2,2,2,28
5906,2,2,1,46
5907,2,1,3,39
5908,1,2,1,40
5909,1,2,2,30
5910,2,2,2,24
5911,2,2,2,24
